time_e,mem_e
0,0
339,24
340,66664
341,226872
342,372392
343,508392
344,650104
345,801336
346,943320
347,1105704
348,1225928
349,1360024
350,1509080
351,1658680
352,1794680
353,1956248
354,2110200
355,2270680
356,2415112
357,2562264
358,2718936
359,2720024
360,2557640
361,2405320
362,2247288
363,2098232
364,1952440
365,1796040
366,1646440
367,1496840
368,1350504
369,1210696
370,1210424
370,1064904
371,1064632
371,917480
372,917208
372,762440
373,762168
373,609304
374,609032
374,470584
375,470312
375,320440
376,320168
376,204296
377,204024
377,59592
378,59320
378,840
378,568
378,296
378,24
378,0
