time_h,mem_h
0,0
392,16
393,1316
395,3916
395,3916
395,2616
395,7816
395,7816
395,5216
395,15616
395,15616
395,10416
395,31216
395,31216
395,20816
395,62416
395,62416
395,41616
396,124816
396,124816
396,83216
396,249616
396,249616
396,166416
397,499216
397,499216
397,332816
398,998416
398,998416
398,665616
402,1996816
402,1996816
402,1331216
410,3993616
410,3993616
410,2662416
453,3993616
453,1331216
457,1996816
457,665616
459,998416
459,332816
460,499216
460,166416
460,249616
460,83216
460,124816
460,41616
460,62416
460,20816
460,31216
460,10416
460,15616
460,5216
460,7816
460,2616
460,3916
460,1316
460,1836
460,536
460,796
460,276
461,16
461,0
